# Every codepoint the terminal face must carry, and why.
#
# A browser has no system font behind Skia and a FontFamily of loaded fonts resolves to exactly
# one typeface, so a codepoint terminalmono lacks is tofu that nothing can supply. This file is
# the list of codepoints that must never be tofu, and TerminalFontCoverageTest is what enforces it.
#
# Measured, probe #270. Union of three corpora:
#   * every pane of a live herdr, read over pane.read while agent harnesses were working in them
#     -- the only instrument that sees render-time chrome at all
#   * 163 Claude Code transcripts under ~/.claude/projects (490M characters)
#   * 14 codex sessions and 56 gemini sessions (118M characters)
#
# Kept: non-ASCII, exactly one column wide, and not a letter of a script. That is the class the
# face is built for. Script letters (CJK, Hangul, Devanagari) and two-column glyphs are out of
# scope by design and go down the fallback path probe #214 built for them.
#
# A harness BINARY is not a usable instrument and was rejected: its non-ASCII is dominated by
# embedded Unicode character-property tables (NKo, Syriac, Armenian) that never reach a screen.
#
# Regenerate the face with `python3 tools/terminalmono.py --write` after adding a row here.
#
# codepoint  character  name
U+00A0     NO-BREAK SPACE
U+00A7  §  SECTION SIGN
U+00A9  ©  COPYRIGHT SIGN
U+00AB  «  LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
U+00AE  ®  REGISTERED SIGN
U+00B0  °  DEGREE SIGN
U+00B1  ±  PLUS-MINUS SIGN
U+00B2  ²  SUPERSCRIPT TWO
U+00B3  ³  SUPERSCRIPT THREE
U+00B7  ·  MIDDLE DOT
U+00B9  ¹  SUPERSCRIPT ONE
U+00BB  »  RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
U+00BD  ½  VULGAR FRACTION ONE HALF
U+00BE  ¾  VULGAR FRACTION THREE QUARTERS
U+00D7  ×  MULTIPLICATION SIGN
U+00F7  ÷  DIVISION SIGN
U+2003     EM SPACE
U+2011  ‑  NON-BREAKING HYPHEN
U+2013  –  EN DASH
U+2014  —  EM DASH
U+2018  ‘  LEFT SINGLE QUOTATION MARK
U+2019  ’  RIGHT SINGLE QUOTATION MARK
U+201C  “  LEFT DOUBLE QUOTATION MARK
U+201D  ”  RIGHT DOUBLE QUOTATION MARK
U+201E  „  DOUBLE LOW-9 QUOTATION MARK
U+2022  •  BULLET
U+2026  …  HORIZONTAL ELLIPSIS
U+202F     NARROW NO-BREAK SPACE
U+203A  ›  SINGLE RIGHT-POINTING ANGLE QUOTATION MARK
U+2074  ⁴  SUPERSCRIPT FOUR
U+2076  ⁶  SUPERSCRIPT SIX
U+2078  ⁸  SUPERSCRIPT EIGHT
U+207F  ⁿ  SUPERSCRIPT LATIN SMALL LETTER N
U+20AC  €  EURO SIGN
U+2153  ⅓  VULGAR FRACTION ONE THIRD
U+2154  ⅔  VULGAR FRACTION TWO THIRDS
U+2190  ←  LEFTWARDS ARROW
U+2191  ↑  UPWARDS ARROW
U+2192  →  RIGHTWARDS ARROW
U+2193  ↓  DOWNWARDS ARROW
U+2194  ↔  LEFT RIGHT ARROW
U+2197  ↗  NORTH EAST ARROW
U+21B3  ↳  DOWNWARDS ARROW WITH TIP RIGHTWARDS
U+21B9  ↹  LEFTWARDS ARROW TO BAR OVER RIGHTWARDS ARROW TO BAR
U+21C4  ⇄  RIGHTWARDS ARROW OVER LEFTWARDS ARROW
U+21D2  ⇒  RIGHTWARDS DOUBLE ARROW
U+21E7  ⇧  UPWARDS WHITE ARROW
U+2208  ∈  ELEMENT OF
U+2212  −  MINUS SIGN
U+2229  ∩  INTERSECTION
U+2248  ≈  ALMOST EQUAL TO
U+2260  ≠  NOT EQUAL TO
U+2264  ≤  LESS-THAN OR EQUAL TO
U+2265  ≥  GREATER-THAN OR EQUAL TO
U+22EF  ⋯  MIDLINE HORIZONTAL ELLIPSIS
U+2303  ⌃  UP ARROWHEAD
U+2304  ⌄  DOWN ARROWHEAD
U+2315  ⌕  TELEPHONE RECORDER
